"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-05-31,"Lock Haven, PA","PA",518,928,-0.0127659574468085,-0.0106609808102345,-0.0138150903294368,10497
2019-05-31,"Sikeston, MO","MO",519,825,0.00609756097560976,0.0110294117647059,0.0456273764258555,10000
2019-05-31,"Clewiston, FL","FL",520,1307,0.00384024577572965,0.0108275328692962,0.0348376880443389,6652
2019-05-31,"Pittsburg, KS","KS",521,699,0.00286944045911047,0.00720461095100865,0.0101156069364162,13236
2019-05-31,"Pontiac, IL","IL",522,1103,-0.00541027953110911,-0.00451263537906137,-0.0142984807864164,12671
2019-05-31,"Mount Vernon, IL","IL",523,896,-0.0334412081984898,-0.0508474576271186,-0.072463768115942,11939
2019-05-31,"Houghton, MI","MI",524,951,0.00210748155953635,0.00848356309650053,0.0733634311512415,18927
2019-05-31,"Gainesville, TX","TX",525,1346,-0.00810611643330877,-0.0102941176470588,0.0127915726109857,11534
2019-05-31,"Kill Devil Hills, NC","NC",526,1473,0.00683526999316473,0.0082135523613963,0.0315126050420168,15266
2019-05-31,"Brownwood, TX","TX",527,977,0.0219665271966527,0.0360551431601273,0.0539374325782093,14036
2019-05-31,"Stephenville, TX","TX",528,1229,-0.0168,-0.0214968152866242,0.00986031224322103,7351
2019-05-31,"Easton, MD","MD",529,1714,0.00351288056206089,0.00292568753657109,0.0118063754427391,18806
2019-05-31,"North Platte, NE","NE",530,1038,-0.0353159851301115,-0.0511882998171846,0.00193050193050193,10895
2019-05-31,"Newberry, SC","SC",531,964,-0.0122950819672131,-0.017329255861366,0.0179514255543823,18414
2019-05-31,"Ada, OK","OK",532,865,-0.0159271899886234,-0.018161180476731,-0.0291806958473625,11498
2019-05-31,"Moscow, ID","ID",533,1323,-0.00601051840721262,-0.00898876404494382,0.0311769290724864,9704
2019-05-31,"Safford, AZ","AZ",534,1221,-0.0129345189975748,-0.0169082125603865,0.0498710232158212,7086
2019-05-31,"Murray, KY","KY",535,982,-0.0150451354062187,-0.0228855721393035,-0.0070778564206269,7479
2019-05-31,"Huntington, IN","IN",536,929,0.0141921397379913,0.0253863134657837,0.0592930444697834,13426
2019-05-31,"Mayfield, KY","KY",537,876,-0.00227790432801822,0.00114285714285714,0.0391459074733096,2591
2019-05-31,"Escanaba, MI","MI",538,944,0.0053248136315229,0.00962566844919786,0.0825688073394495,23475
2019-05-31,"Astoria, OR","OR",539,1543,-0.000647668393782384,-0.000647668393782384,0.00586701434159061,17334
2019-05-31,"Peru, IN","IN",540,805,0.0176991150442478,0.0333761232349166,0.0509138381201044,11563
